ATM,Date,Refill_Amount,Stock,Refilled,Out_of_Cash,Day_Cost,Predicted_Withdrawal
4,2006-05-08,296868.75,254285.51,1,0,2968.6875,42583.2379616571
4,2006-05-09,0.0,202948.47,0,0,0.0,51337.03619175524
4,2006-05-10,0.0,140973.38,0,0,0.0,61975.09231840684
4,2006-05-11,0.0,86473.517,0,0,0.0,54499.86386745708
4,2006-05-12,0.0,29889.404,0,0,0.0,56584.11293221006
4,2006-05-13,0.0,17103.606,0,0,0.0,12785.798542720382
4,2006-05-14,0.0,0.0,0,0,0.0,17103.605955897146
5,2006-05-08,311280.94,248448.26,1,0,3112.8094,62832.68180360767
5,2006-05-09,0.0,182760.7,0,0,0.0,65687.55993700493
5,2006-05-10,0.0,127199.35,0,0,0.0,55561.343411162
5,2006-05-11,0.0,78319.028,0,0,0.0,48880.32648220982
5,2006-05-12,0.0,38179.367,0,0,0.0,40139.66137124286
5,2006-05-13,0.0,24322.837,0,0,0.0,13856.530072168178
5,2006-05-14,0.0,0.0,0,0,0.0,24322.83663527307
1,2006-05-15,594015.21,547570.94,1,0,5940.152099999999,46444.27299040636
1,2006-05-16,0.0,481180.2,0,0,0.0,66390.7420558932
1,2006-05-17,0.0,408605.61,0,0,0.0,72574.58208173652
1,2006-05-18,0.0,281847.95,0,0,0.0,126757.6640786446
1,2006-05-19,0.0,162554.39,0,0,0.0,119293.55812654876
1,2006-05-20,0.0,87551.989,0,0,0.0,75002.40281431424
1,2006-05-21,0.0,0.0,0,0,0.0,87551.9889434769
2,2006-05-15,615395.69,556680.22,1,0,6153.956899999999,58715.47069653808
2,2006-05-16,0.0,480183.68,0,0,0.0,76496.53789331684
2,2006-05-17,0.0,397868.21,0,0,0.0,82315.46569132221
2,2006-05-18,0.0,290236.74,0,0,0.0,107631.470726866
2,2006-05-19,0.0,169003.3,0,0,0.0,121233.44622544928
2,2006-05-20,0.0,86392.875,0,0,0.0,82610.42078081057
2,2006-05-21,0.0,0.0,0,0,0.0,86392.8754756914
3,2006-05-15,225129.44,211234.19,1,0,2251.2944,13895.24645162636
3,2006-05-16,0.0,194323.36,0,0,0.0,16910.83557879078
