"ATM_ID,""ATM_NUMBER"",""DATE"",""ATM_WITHDRWLS"",""ATM_WITHDRWLS_SCALED"",""DAY_OF_WEEK"",""DAY_IN_MONTH"",""MONTH"",""YEAR"",""ATM_WITHDRWLS_1WEEKAGO"",""ATM_WITHDRWLS_2WEEKAGO"",""AVG_ATM_WITHDRW_PREVMONTH"",""FIRSTWORKDAY"",""LASTWORKDAY"",""IsSaturday"",""IsSunday"",""HOLIDAY"""
"Z0241002,""1"",""05/02/2008"",""233010"",""0.68"",""3"",""5"",""2"",""2008"",""83090"",""227240"",""130029.516"",""0"",""0"",""0"",""0"",""1"""
"Z0951001,""2"",""05/02/2008"",""149305"",""0.44"",""3"",""5"",""2"",""2008"",""64680"",""153670"",""74759.194"",""0"",""0"",""0"",""0"",""1"""
"Z1031001,""3"",""05/02/2008"",""76880"",""0.22"",""3"",""5"",""2"",""2008"",""12230"",""66440"",""35230.323"",""0"",""0"",""0"",""0"",""1"""
"Z1119001,""4"",""05/02/2008"",""110015"",""0.32"",""3"",""5"",""2"",""2008"",""57825"",""204150"",""73215"",""0"",""0"",""0"",""0"",""1"""
"Z1899001,""5"",""05/02/2008"",""116375"",""0.34"",""3"",""5"",""2"",""2008"",""24930"",""88470"",""55194.355"",""0"",""0"",""0"",""0"",""1"""
"Z0241002,""1"",""04/02/2008"",""179550"",""0.53"",""2"",""4"",""2"",""2008"",""159830"",""252940"",""129758.71"",""0"",""0"",""0"",""0"",""1"""
"Z0951001,""2"",""04/02/2008"",""145055"",""0.42"",""2"",""4"",""2"",""2008"",""119080"",""137200"",""74518.226"",""0"",""0"",""0"",""0"",""1"""
"Z1031001,""3"",""04/02/2008"",""68930"",""0.2"",""2"",""4"",""2"",""2008"",""35010"",""95930"",""35333.226"",""0"",""0"",""0"",""0"",""1"""
"Z1119001,""4"",""04/02/2008"",""75380"",""0.22"",""2"",""4"",""2"",""2008"",""106435"",""274285"",""73360.645"",""0"",""0"",""0"",""0"",""1"""
"Z1899001,""5"",""04/02/2008"",""89875"",""0.26"",""2"",""4"",""2"",""2008"",""61375"",""139685"",""55657.581"",""0"",""0"",""0"",""0"",""1"""
